iter,hs_minus_20_run,hs_minus_20_present,hs_plus_20_run,hs_plus_20_present,projection_years_per_panel
9,tun43,TRUE,tun29,TRUE,26
32,tun43,TRUE,tun29,TRUE,26
37,tun43,TRUE,tun29,TRUE,26
45,tun43,TRUE,tun29,TRUE,26
65,tun43,TRUE,tun29,TRUE,26
74,tun43,TRUE,tun29,TRUE,26
82,tun43,TRUE,tun29,TRUE,26
110,tun43,TRUE,tun29,TRUE,26
115,tun43,TRUE,tun29,TRUE,26
136,tun43,TRUE,tun29,TRUE,26
151,tun43,TRUE,tun29,TRUE,26
157,tun43,TRUE,tun29,TRUE,26
158,tun43,TRUE,tun29,TRUE,26
165,tun43,TRUE,tun29,TRUE,26
177,tun43,TRUE,tun29,TRUE,26
186,tun43,TRUE,tun29,TRUE,26
194,tun43,TRUE,tun29,TRUE,26
208,tun43,TRUE,tun29,TRUE,26
246,tun43,TRUE,tun29,TRUE,26
267,tun43,TRUE,tun29,TRUE,26
327,tun43,TRUE,tun29,TRUE,26
336,tun43,TRUE,tun29,TRUE,26
344,tun43,TRUE,tun29,TRUE,26
348,tun43,TRUE,tun29,TRUE,26
361,tun43,TRUE,tun29,TRUE,26
367,tun43,TRUE,tun29,TRUE,26
370,tun43,TRUE,tun29,TRUE,26
397,tun43,TRUE,tun29,TRUE,26
487,tun43,TRUE,tun29,TRUE,26
498,tun43,TRUE,tun29,TRUE,26
